id,q1,q2,q3,q4,q10a,q10b,q10c,q10d,q10e,q10f,q10g,Q11,Q12,Q13,Q14,Q15,Q16,Q17
332.00,1,1,#NULL!,3,2,1,2,2,4,1,2,15.00,4,0.00,1,1,2,1
335.00,1,5,#NULL!,3,3,1,1,2,2,1,1,4.00,6,60.00,1,1,2,1
124.00,1,1,#NULL!,2,2,1,5,5,2,1,1,5.00,4,0.00,5,2,2,1
124.00,1,1,#NULL!,2,4,5,2,2,4,4,1,20.00,4,0.00,5,1,2,1
124.00,1,6,6,3,2,1,3,4,1,1,1,16.00,5,10.00,1,2,1,1
124.00,1,6,5,4,1,1,1,3,4,3,2,15.00,8,0.00,1,1,2,1
931.00,1,1,#NULL!,2,4,2,5,4,4,1,2,10.00,4,0.00,1,2,2,1
932.00,1,1,#NULL!,3,3,2,2,4,4,2,4,20.00,7,0.00,1,2,2,1
1361.00,1,1,#NULL!,3,2,1,1,2,2,2,2,20.00,6,0.00,1,2,2,1
1364.00,1,6,1,7,4,1,1,1,1,1,2,30.00,7,20.00,1,2,2,1
491.00,1,1,#NULL!,3,1,2,4,2,2,2,1,70.00,7,0.00,1,2,2,1
495.00,1,1,#NULL!,3,2,1,1,3,3,3,3,10.00,8,0.00,1,1,2,1
301.00,1,1,#NULL!,2,2,1,2,4,2,3,3,50.00,9,10.00,1,2,2,1
302.00,1,1,#NULL!,2,2,1,2,4,4,4,2,15.00,6,0.00,1,1,2,1
1611.00,1,1,#NULL!,3,3,3,4,3,3,5,4,21.00,6,5.00,1,2,2,1
1612.00,1,1,#NULL!,2,2,2,4,5,1,1,1,4.00,2,0.00,3,1,2,1
1613.00,1,6,3,4,3,2,1,2,1,5,1,10.00,6,0.00,1,2,2,1
1614.00,1,5,#NULL!,7,2,1,3,2,2,5,1,0.00,6,50.00,1,2,1,1
1615.00,1,1,#NULL!,2,4,2,4,4,1,4,1,10.00,1,0.00,1,1,2,1
463.00,1,6,4,6,2,2,4,4,3,4,2,10.00,10,60.00,1,1,2,1
464.00,1,2,#NULL!,7,3,2,2,2,2,4,4,5.00,7,0.00,1,2,2,1
424.00,1,6,4,6,2,3,3,2,4,4,2,10.00,8,40.00,1,1,2,1
403.00,1,5,#NULL!,5,4,3,2,4,2,1,3,0.00,4,0.00,1,1,2,1
603.00,1,6,4,6,2,3,2,2,3,2,2,50.00,8,0.00,1,2,2,1
722.00,1,5,5,3,1,2,3,4,1,1,1,0.00,1,5.00,11,1,2,1
1232.00,1,6,3,5,5,2,2,2,2,2,2,15.00,6,0.00,5,2,2,1
321.00,1,6,2,4,2,1,1,4,5,3,4,12.00,9,0.00,1,2,2,1
323.00,1,6,2,3,1,1,2,3,4,3,2,20.00,7,0.00,1,1,1,1
655.00,1,6,2,4,5,1,2,4,5,3,3,2.00,8,90.00,4,1,2,1
651.00,1,4,#NULL!,4,5,4,5,3,4,4,2,0.00,9,50.00,4,1,2,1
1581.00,1,6,2,4,3,4,4,4,5,5,4,20.00,6,15.00,1,1,2,1
565.00,1,5,#NULL!,2,5,3,4,4,4,2,1,10.00,3,0.00,1,1,2,1
175.00,1,5,#NULL!,2,2,1,1,2,4,4,4,100.00,8,5.00,5,2,2,1
61.00,1,6,2,3,2,2,4,4,1,1,4,70.00,6,0.00,1,2,2,1
63.00,1,6,7,4,3,4,4,4,3,2,3,4.00,1,0.00,9,1,2,1
65.00,1,5,#NULL!,3,2,2,2,2,2,2,2,10.00,5,0.00,1,1,2,1
983.00,1,6,7,3,3,2,4,3,3,2,3,0.00,8,80.00,9,1,2,1
106.00,1,6,5,5,9,2,2,4,2,1,2,25.00,5,0.00,5,2,2,1
1092.00,1,6,2,3,2,1,2,1,2,3,1,10.00,7,0.00,9,2,2,1
1093.00,1,6,7,5,2,1,1,1,5,3,2,20.00,6,0.00,5,1,1,1
1095.00,1,6,5,4,2,1,2,2,2,2,4,15.00,5,0.00,9,2,2,1
1301.00,1,6,2,4,5,1,1,2,3,2,5,30.00,9,0.00,1,2,2,1
1304.00,1,5,#NULL!,6,4,3,4,3,2,2,3,50.00,7,5.00,1,1,2,1
1571.00,1,6,5,3,9,3,3,2,2,9,2,40.00,4,0.00,9,2,2,1
1573.00,1,6,7,3,1,4,2,2,2,5,4,20.00,6,0.00,1,1,2,1
1574.00,1,6,5,4,2,4,1,5,1,1,2,5.00,6,0.00,9,2,2,1
504.00,1,1,#NULL!,2,5,2,1,4,4,1,1,10.00,8,0.00,3,2,2,1
505.00,1,1,#NULL!,2,2,1,1,2,1,1,1,15.00,5,0.00,4,2,2,1
362.00,1,6,2,5,2,2,5,2,3,2,1,5.00,4,15.00,9,1,2,1
1134.00,1,5,5,6,5,4,3,3,3,3,3,4.00,6,0.00,1,2,2,1
1135.00,1,6,3,6,2,2,1,4,5,5,2,20.00,6,75.00,1,2,2,1
1051.00,1,6,2,6,2,3,2,2,5,5,2,10.00,6,20.00,11,1,2,1
1701.00,1,6,5,2,3,1,2,3,3,3,5,20.00,8,0.00,1,2,2,1
213.00,1,6,6,7,5,5,4,5,5,9,2,0.00,1,0.00,4,1,2,1
215.00,1,4,#NULL!,6,2,1,2,1,4,2,1,20.00,2,0.00,1,2,2,1
352.00,1,4,#NULL!,4,3,2,1,4,4,1,4,30.00,7,10.00,1,2,2,1
953.00,1,6,5,6,2,1,4,2,1,1,2,30.00,7,10.00,1,1,2,1
955.00,1,1,#NULL!,3,2,2,2,2,1,1,1,48.00,8,0.00,9,1,2,1
801.00,1,1,#NULL!,5,2,2,2,2,2,2,2,30.00,5,0.00,1,2,2,1
803.00,1,6,7,6,5,2,3,5,4,1,3,25.00,8,80.00,5,1,2,1
805.00,1,5,5,5,5,3,5,5,2,2,2,0.00,2,10.00,9,1,2,1
1532.00,1,6,5,5,2,4,1,2,1,1,1,30.00,4,5.00,1,2,2,1
1561.00,1,6,6,4,3,2,4,4,3,4,3,10.00,4,40.00,1,2,2,1
1563.00,1,6,2,5,1,4,5,4,1,1,1,10.00,3,0.00,1,1,2,1
1565.00,1,6,2,4,5,3,3,4,2,5,1,0.00,1,90.00,1,2,2,1
1381.00,1,6,1,3,2,2,2,1,2,2,2,5.00,3,0.00,9,2,2,1
1043.00,1,6,5,3,1,1,2,2,3,2,3,15.00,7,50.00,1,2,2,1
1044.00,1,6,4,4,2,2,3,3,2,5,3,15.00,7,75.00,1,1,2,1
853.00,1,6,3,9,3,2,3,5,4,3,4,2.00,5,80.00,6,1,1,2
854.00,1,6,5,3,3,1,2,4,4,3,4,25.00,6,1.00,1,2,2,2
855.00,1,3,#NULL!,7,2,4,5,5,1,2,1,0.00,1,0.00,1,2,1,2
851.00,1,6,1,6,1,3,5,5,5,5,5,100.00,10,80.00,1,1,2,2
883.00,1,6,3,9,2,2,2,1,1,1,1,5.00,4,0.00,9,2,1,2
885.00,1,3,#NULL!,9,2,1,3,4,5,5,4,0.00,6,0.00,4,1,1,2
882.00,1,6,1,3,3,2,3,3,3,4,1,0.00,10,95.00,4,1,2,2
1353.00,1,5,2,7,3,1,1,2,1,4,1,0.00,3,0.00,1,2,1,2
1355.00,1,6,5,6,2,2,1,2,2,2,2,5.00,3,5.00,1,1,2,2
871.00,1,5,#NULL!,7,2,2,1,2,2,2,4,0.00,5,0.00,1,2,1,2
872.00,1,2,#NULL!,7,1,2,2,3,3,4,1,0.00,3,0.00,1,2,1,2
764.00,1,5,#NULL!,7,2,2,4,3,2,2,4,2.00,5,100.00,1,1,2,2
765.00,1,2,#NULL!,7,1,1,2,3,4,3,3,2.00,4,0.00,1,2,1,2
414.00,1,2,#NULL!,7,2,4,4,2,3,3,4,5.00,5,5.00,1,2,1,2
792.00,1,6,6,7,2,2,3,3,2,4,4,3.00,6,50.00,1,1,1,2
793.00,1,6,5,7,2,2,1,1,3,3,3,2.00,5,60.00,6,1,2,2
943.00,1,6,6,6,3,4,4,5,4,9,2,0.00,2,5.00,1,2,1,2
1023.00,1,6,4,9,2,3,1,5,3,5,3,0.00,8,70.00,6,2,1,2
1021.00,1,6,3,6,5,5,1,2,5,2,1,10.00,2,0.00,1,2,2,2
915.00,1,5,1,7,4,1,2,2,4,2,2,10.00,5,0.00,5,2,2,2
843.00,1,2,#NULL!,3,3,2,5,4,5,4,4,0.00,9,0.00,1,2,1,2
845.00,1,2,#NULL!,7,3,1,1,2,5,1,2,0.00,3,0.00,1,2,1,2
895.00,1,6,2,3,5,3,2,2,4,4,3,0.00,3,20.00,9,2,2,2
1033.00,1,6,3,7,1,3,4,5,5,3,1,0.00,3,0.00,1,2,2,2
1031.00,1,6,6,7,2,1,1,3,4,5,1,0.00,99,0.00,4,1,1,2
1032.00,1,6,6,9,2,5,2,5,1,1,1,0.00,3,0.00,1,1,2,2
1173.00,1,6,3,7,1,2,1,5,5,5,3,40.00,7,70.00,1,1,1,2
1175.00,1,3,#NULL!,8,3,1,2,3,3,5,3,0.00,4,0.00,1,2,1,2
692.00,1,6,2,6,4,5,2,4,4,4,2,0.00,1,0.00,1,2,2,2
693.00,1,6,3,7,2,3,4,3,3,4,2,10.00,4,5.00,1,2,1,2
631.00,1,6,4,6,1,3,2,4,4,5,5,5.00,99,95.00,6,1,1,2
632.00,1,6,6,7,2,1,2,2,4,4,1,0.00,7,60.00,3,1,1,2
633.00,1,5,#NULL!,7,4,1,2,5,3,2,1,0.00,99,10.00,3,2,1,2
634.00,1,6,1,7,3,2,4,4,5,5,5,0.00,2,0.00,1,2,2,2
635.00,1,6,5,6,3,1,2,4,3,4,5,10.00,6,0.00,1,2,1,2
1312.00,1,6,2,6,2,3,5,4,2,4,2,10.00,9,70.00,1,1,2,2
1313.00,1,6,4,7,2,2,2,2,3,3,4,5.00,8,75.00,1,1,1,2
1315.00,1,6,3,6,2,2,2,2,4,1,4,8.00,6,70.00,1,2,2,2
233.00,1,6,4,7,3,1,5,4,4,1,1,0.00,8,80.00,1,1,1,2
234.00,1,2,#NULL!,6,1,3,3,2,1,1,1,0.00,4,20.00,1,2,1,2
554.00,1,2,#NULL!,6,2,3,4,1,1,1,1,0.00,4,0.00,1,2,1,2
131.00,1,2,#NULL!,8,2,1,2,2,3,4,3,0.00,5,0.00,1,2,1,2
133.00,1,6,7,9,4,2,2,2,4,4,1,0.00,6,100.00,1,1,1,2
134.00,1,2,#NULL!,6,2,4,1,5,5,5,4,0.00,4,0.00,1,2,1,2
1141.00,1,6,2,7,3,3,4,4,4,4,2,0.00,3,0.00,1,2,1,2
1143.00,1,6,7,7,3,1,5,1,1,1,1,0.00,4,30.00,1,1,1,2
1144.00,1,2,#NULL!,6,3,1,1,5,5,5,5,0.00,2,0.00,2,2,1,2
484.00,1,2,#NULL!,6,3,1,1,2,4,1,3,5.00,4,0.00,3,2,1,2
485.00,1,6,6,7,1,1,2,1,2,1,1,0.00,5,90.00,11,1,1,2
543.00,1,6,7,6,2,4,1,1,4,4,1,0.00,4,60.00,1,1,1,2
544.00,1,5,5,8,2,5,2,5,1,1,1,3.00,3,10.00,11,2,1,2
1693.00,1,6,4,7,1,1,5,2,5,5,5,0.00,10,95.00,1,1,2,2
1694.00,1,5,#NULL!,6,3,4,2,1,1,9,1,0.00,2,0.00,1,2,1,2
1603.00,1,6,4,9,4,2,1,5,5,5,2,0.00,9,90.00,4,1,1,2
1604.00,1,2,#NULL!,6,4,4,3,4,4,5,4,4.00,8,30.00,1,2,1,2
1545.00,1,6,5,9,2,4,3,3,3,4,1,2.00,5,80.00,1,1,1,2
1621.00,1,5,#NULL!,9,2,4,3,4,1,5,1,1.00,3,0.00,1,2,1,2
1622.00,1,6,6,9,5,1,1,2,5,5,2,0.00,10,98.00,5,1,1,2
1623.00,1,6,3,7,2,4,3,3,2,4,2,0.00,8,95.00,6,1,1,2
1625.00,1,3,#NULL!,7,3,2,4,1,2,2,2,0.00,3,5.00,1,2,1,2
572.00,1,6,2,7,2,1,5,5,1,1,1,0.00,3,50.00,1,1,1,2
574.00,1,6,6,6,4,4,2,4,4,1,1,2.00,3,0.00,11,1,2,2
1635.00,1,6,2,7,4,1,2,5,2,2,2,0.00,7,60.00,1,1,1,2
1684.00,1,5,7,8,1,3,2,1,1,1,1,0.00,1,50.00,5,1,1,2
1682.00,1,6,1,7,2,1,2,3,2,2,2,0.00,4,0.00,1,1,1,2
1514.00,1,2,#NULL!,7,3,4,3,4,3,3,2,0.00,2,0.00,9,2,1,2
1163.00,1,3,#NULL!,7,3,5,5,1,3,9,1,0.00,2,0.00,1,2,1,2
1164.00,1,6,2,7,5,2,1,1,1,9,1,0.00,2,0.00,9,1,1,2
823.00,1,5,#NULL!,7,2,1,1,4,1,1,4,4.00,7,30.00,9,1,1,2
824.00,1,6,1,7,3,1,2,1,1,2,1,2.00,2,50.00,6,2,1,2
1013.00,1,5,#NULL!,7,2,3,2,2,2,3,4,1.00,3,50.00,3,2,2,2
1014.00,1,2,#NULL!,7,4,5,3,2,1,2,1,0.00,1,0.00,1,2,1,2
863.00,1,5,3,7,3,1,1,1,4,2,2,0.00,3,0.00,1,2,1,2
865.00,1,3,#NULL!,7,5,4,2,4,1,1,1,12.00,5,0.00,1,1,1,2
